head;relation;tail
door-to-door sales workers, news and street vendors, and related workers;broadmatch;miscellaneous sales and related workers
miscellaneous sales and related workers;narrowmatch;sales and related workers, all other
sales and related workers, all other;broadmatch;miscellaneous sales and related workers
office and administrative support occupations;narrowmatch;supervisors of office and administrative support workers
supervisors of office and administrative support workers;broadmatch;office and administrative support occupations
office and administrative support occupations;narrowmatch;communications equipment operators
office and administrative support occupations;narrowmatch;financial clerks
office and administrative support occupations;narrowmatch;other office and administrative support workers
financial clerks;broadmatch;office and administrative support occupations
office and administrative support occupations;narrowmatch;information and record clerks
information and record clerks;broadmatch;office and administrative support occupations
office and administrative support occupations;narrowmatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;broadmatch;office and administrative support occupations
office and administrative support occupations;narrowmatch;secretaries and administrative assistants
secretaries and administrative assistants;broadmatch;office and administrative support occupations
payroll and timekeeping clerks;broadmatch;financial clerks
procurement clerks;broadmatch;financial clerks
information and record clerks;narrowmatch;miscellaneous information and record clerks
financial clerks;narrowmatch;tellers
hotel, motel, and resort desk clerks;broadmatch;information and record clerks
information and record clerks;narrowmatch;interviewers, except eligibility and loan
interviewers, except eligibility and loan;broadmatch;information and record clerks
information and record clerks;narrowmatch;library assistants, clerical
library assistants, clerical;broadmatch;information and record clerks
information and record clerks;narrowmatch;loan interviewers and clerks
loan interviewers and clerks;broadmatch;information and record clerks
information and record clerks;narrowmatch;new accounts clerks
new accounts clerks;broadmatch;information and record clerks
information and record clerks;narrowmatch;order clerks
order clerks;broadmatch;information and record clerks
information and record clerks;narrowmatch;human resources assistants, except payroll and timekeeping
human resources assistants, except payroll and timekeeping;broadmatch;information and record clerks
information and record clerks;narrowmatch;receptionists and information clerks
receptionists and information clerks;broadmatch;information and record clerks
information and record clerks;narrowmatch;reservation and transportation ticket agents and travel clerks
reservation and transportation ticket agents and travel clerks;broadmatch;information and record clerks
information and record clerks;narrowmatch;hotel, motel, and resort desk clerks
file clerks;broadmatch;information and record clerks
information and record clerks;narrowmatch;file clerks
information and record clerks;narrowmatch;correspondence clerks
tellers;broadmatch;financial clerks
financial clerks;narrowmatch;miscellaneous financial clerks
miscellaneous financial clerks;broadmatch;financial clerks
miscellaneous financial clerks;narrowmatch;financial clerks, all other
financial clerks, all other;broadmatch;miscellaneous financial clerks
information and record clerks;narrowmatch;brokerage clerks
brokerage clerks;broadmatch;information and record clerks
correspondence clerks;broadmatch;information and record clerks
eligibility interviewers, government programs;broadmatch;information and record clerks
information and record clerks;narrowmatch;court, municipal, and license clerks
court, municipal, and license clerks;broadmatch;information and record clerks
information and record clerks;narrowmatch;credit authorizers, checkers, and clerks
credit authorizers, checkers, and clerks;broadmatch;information and record clerks
information and record clerks;narrowmatch;customer service representatives
customer service representatives;broadmatch;information and record clerks
information and record clerks;narrowmatch;eligibility interviewers, government programs
agricultural equipment operators;broadmatch;miscellaneous agricultural workers
miscellaneous agricultural workers;narrowmatch;farmworkers and laborers, crop, nursery, and greenhouse
farmworkers and laborers, crop, nursery, and greenhouse;broadmatch;miscellaneous agricultural workers
helpers, construction trades, all other;broadmatch;helpers, construction trades
pipelayers;broadmatch;pipelayers, plumbers, pipefitters, and steamfitters
pipelayers, plumbers, pipefitters, and steamfitters;narrowmatch;plumbers, pipefitters, and steamfitters
plumbers, pipefitters, and steamfitters;broadmatch;pipelayers, plumbers, pipefitters, and steamfitters
plumbers, pipefitters, and steamfitters;narrowmatch;solar thermal installers and technicians
solar thermal installers and technicians;broadmatch;plumbers, pipefitters, and steamfitters
helpers, construction trades;narrowmatch;helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters
helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters;broadmatch;helpers, construction trades
helpers, construction trades;narrowmatch;helpers--carpenters
helpers--carpenters;broadmatch;helpers, construction trades
helpers, construction trades;narrowmatch;helpers--electricians
helpers--electricians;broadmatch;helpers, construction trades
helpers, construction trades;narrowmatch;helpers--painters, paperhangers, plasterers, and stucco masons
helpers--painters, paperhangers, plasterers, and stucco masons;broadmatch;helpers, construction trades
helpers, construction trades;narrowmatch;helpers--pipelayers, plumbers, pipefitters, and steamfitters
helpers--pipelayers, plumbers, pipefitters, and steamfitters;broadmatch;helpers, construction trades
helpers, construction trades;narrowmatch;helpers--roofers
helpers--roofers;broadmatch;helpers, construction trades
pipelayers, plumbers, pipefitters, and steamfitters;narrowmatch;pipelayers
paperhangers;broadmatch;painters and paperhangers
painters and paperhangers;narrowmatch;paperhangers
